id,squareMeters,numberOfRooms,hasYard,hasPool,floors,cityPartRange,numPrevOwners,made,isNewBuilt,hasStormProtector,basement,attic,garage,hasStorageRoom,hasGuestRoom,hasFirePlace,hasBalcony,hasSolarPanels,hasAirCondition,hasView,hasSecuritySystem,price
26,85795,79,0,0,59,1,2,2019,0,1,8138,5435,278,0,5,5573,494,5275,3249,4952,9691,8585311.9
27,93351,26,1,0,33,5,8,1994,0,1,6293,998,186,1,0,6469,523,9789,8178,8693,3233,9338401.4
28,37781,99,1,0,79,6,7,2000,1,1,1383,5317,982,0,4,867,181,3483,4303,7146,7842,3781636
29,60250,15,0,1,70,5,8,2019,0,1,96,7038,209,1,1,7360,962,7965,7836,2454,6651,6031090.9
30,47061,85,0,1,66,8,8,2018,1,1,4010,7554,127,0,8,1373,513,7274,438,9164,898,4713648.8
31,39132,99,0,1,86,2,4,2008,0,0,7951,8751,138,0,10,4331,127,618,8785,3245,7384,3920808.8
32,43252,6,0,0,79,3,1,2020,0,0,7932,331,335,0,4,6597,768,8498,6697,7736,286,4326741
33,95273,19,1,1,39,4,9,1994,0,0,2526,1221,350,1,8,3861,802,2569,8801,7698,9969,9537187.4
34,202,84,0,1,80,7,7,1996,1,1,3648,8794,106,1,8,9691,476,8543,4173,575,2111,28295.6
35,11987,28,1,0,38,8,5,2018,0,1,8115,5573,846,0,7,3233,474,705,7330,8269,7699,1203183.8
36,83377,30,0,0,55,9,6,2003,1,1,473,6469,533,1,8,7842,309,4917,749,1628,9579,8342685.3
37,36268,98,1,1,37,6,10,1993,1,1,773,867,313,1,6,6651,543,8787,485,717,9902,3631024.3
38,63693,32,0,0,16,4,5,2005,0,0,7470,7360,546,1,10,898,3861,4510,3658,4148,3082,6375077.5
39,6363,96,1,0,49,10,2,2003,1,0,1273,1373,127,0,6,7384,9691,6475,7043,8727,2441,643101.3
40,94951,8,0,1,35,4,8,2014,1,1,7159,4331,396,0,6,286,3233,9373,3775,7146,906,9498811.4
41,37853,34,0,1,75,6,8,2019,0,0,4876,6597,332,1,5,9969,7842,6343,3714,9351,6288,3792902.9
42,35585,80,0,0,17,2,9,2008,1,1,8583,3861,693,0,4,2111,6651,1204,5990,9696,2626,3561895.8
43,51827,76,0,1,55,10,3,2007,0,1,7058,9691,731,0,6,7699,898,9168,7253,2650,949,5192441.7
44,75177,49,0,0,40,7,10,2016,1,1,8798,3233,108,0,3,9579,7384,4784,4136,9651,1459,7519416.1
45,13312,35,0,1,70,3,1,2005,0,0,9173,7842,707,0,6,9902,286,1421,4749,4823,4930,1343890.5
46,196,86,1,1,8,2,7,2014,0,0,3249,6651,876,0,10,3082,9969,7718,461,1089,9238,23818.4
47,29444,26,0,0,36,8,7,2008,0,1,8178,898,494,1,3,2441,2111,6379,7547,3361,9057,2947292.8
48,57801,78,1,0,26,5,7,2019,1,1,4303,7384,523,1,1,906,7699,783,9495,7965,3969,5787838.9
49,42674,26,0,1,54,1,3,2014,1,0,7836,286,181,0,8,6288,9579,2728,759,7251,117,4269275.4
50,33974,35,1,0,17,2,9,1996,0,0,438,9969,962,1,7,2626,9902,7779,6698,7356,4090,3403907.6
51,46899,26,1,1,40,4,9,1996,1,0,8785,2111,513,0,4,949,3082,5245,7571,7882,5070,4698499.6
52,75898,98,0,0,63,3,4,2000,1,1,6697,7699,127,0,8,1459,2441,274,7233,3735,3842,7592058
53,42904,20,0,0,62,2,5,2005,1,1,8801,9579,768,0,2,4930,906,7998,6972,8714,4944,4302680.5
54,23210,4,0,1,85,10,6,2014,0,0,4173,9902,802,1,4,9238,6288,7886,7949,8691,228,2321968.4
55,1008,6,1,0,26,2,8,2005,0,1,7330,3082,476,0,6,9057,2626,8050,1586,9089,3283,102749.5
56,24937,73,0,1,14,5,8,2009,1,0,749,2441,474,0,8,3969,949,782,3473,9173,8714,2498730.9
57,77100,48,1,0,83,4,8,2004,1,0,485,906,309,0,8,117,1459,7700,7770,3690,7310,7719293.4
58,10082,2,0,1,35,1,2,2008,1,1,3658,6288,543,0,1,4090,4930,959,1335,9712,7304,1016018.8
59,78977,84,1,0,48,4,3,2004,0,0,7043,2626,928,1,8,5070,9238,8231,8444,3535,8177,7906006.4
60,81582,58,0,1,35,9,1,2009,0,0,3775,949,942,0,2,3842,9057,8655,1272,1903,5077,8166678.9
61,8028,42,0,0,35,2,4,1994,0,0,3714,1459,607,1,7,4944,3969,7387,6492,9458,8122,804141.4
62,51036,59,0,0,100,5,9,1998,1,1,5990,4930,527,0,4,228,117,1197,3191,4926,7497,5105099.8
63,211,4,1,0,41,6,1,2009,0,1,7253,9238,248,0,9,3283,4090,8594,5359,4583,8710,24058.9
64,86383,99,1,0,7,9,8,2000,1,0,4136,9057,857,1,7,8714,5070,4784,8175,5034,6115,8648031
65,26853,39,0,0,56,7,8,2005,0,0,4749,3969,930,0,7,7310,3842,9845,4633,8798,4952,2689625.5
66,13591,41,1,0,37,10,6,2000,0,0,461,117,622,0,8,7304,4944,2426,5335,3923,8693,1367021
67,36295,69,1,1,9,5,9,2000,1,1,7547,4090,694,0,0,8177,228,7728,3397,1667,7146,3634512
68,56348,73,0,1,25,5,5,1993,1,1,9495,5070,104,0,10,5077,3283,5358,1551,4203,2454,5645570.3
69,23127,75,1,0,69,9,5,1995,0,0,759,3842,120,1,1,8122,8714,7753,873,8809,9164,2327821.5
70,89396,62,1,1,97,8,7,1993,1,1,6698,4944,624,1,6,7497,7310,3336,8955,9342,3245,8949480.3
71,37781,98,1,0,84,6,9,2000,1,1,7571,228,469,0,8,8710,7304,2351,1533,8678,7736,3781636
72,47523,89,1,0,50,3,3,2006,0,1,7233,3283,641,0,8,6115,8177,6411,7370,4291,7698,4760526.6
73,24916,48,1,1,55,5,10,2020,1,0,6972,8714,443,1,3,4952,5077,7430,711,602,575,2496771
74,64717,12,1,0,37,5,7,2008,1,1,7949,7310,227,0,9,8693,8122,3855,8179,1459,8269,6484598.8
75,1260,21,1,1,31,7,4,2016,0,0,1586,7304,977,0,6,7146,7497,7381,4593,5832,1628,131538.6
76,85576,58,1,0,16,10,1,1998,1,1,3473,8177,438,0,8,2454,8710,4952,5643,6330,717,8558422.8
77,12101,9,1,0,80,5,5,1996,0,0,7770,5077,443,0,6,9164,6115,755,3707,8338,4148,1215445.6
78,83316,85,0,0,59,9,4,2019,0,1,1335,8122,783,0,8,3245,4952,2470,9473,7873,8727,8336816.9
79,33532,84,0,1,79,7,4,2000,0,0,8444,7497,308,1,10,7736,8693,8192,4398,9491,7146,3362452.1
80,53859,29,1,1,28,4,8,2007,0,0,1272,8710,117,1,7,7698,7146,6428,7089,169,9351,5391993.7
81,61647,45,0,0,8,10,2,2019,1,0,6492,6115,572,1,6,575,2454,7188,7611,549,9696,6172515.9
82,1344,86,0,0,2,1,7,2016,0,1,3191,4952,682,1,1,8269,9164,1911,7620,139,2650,135751.6
83,65830,62,1,0,3,5,4,2017,0,0,5359,8693,602,1,2,1628,3245,6327,2808,8884,9651,6587835.7
84,7608,58,0,0,18,6,4,2014,0,0,8175,7146,491,0,8,717,7736,5990,823,4910,4823,768431.4
85,69133,88,1,0,88,2,8,2000,1,0,4633,2454,223,1,1,4148,7698,3636,1631,4055,1089,6922630.2
86,15859,94,1,0,8,1,7,2020,0,0,5335,9164,314,0,9,8727,575,8057,7148,3477,3361,1588729
87,56065,4,1,1,25,3,3,2018,0,0,3397,3245,647,0,8,7146,8269,5166,626,4226,7965,5614119.8
88,6313,38,0,0,26,1,2,2004,1,1,1551,7736,824,1,7,9351,1628,7276,7001,8572,7251,640633.4
89,20282,26,1,0,85,10,5,2000,1,0,873,7698,154,0,5,9696,717,3233,6279,9296,7356,2029680.1
90,9889,86,1,1,85,8,2,2003,1,1,8955,575,918,0,5,2650,4148,991,5359,6524,7882,996563.3
91,28045,70,0,1,75,3,1,1995,1,1,1533,8269,245,1,3,9651,8727,9284,7733,5800,3735,2815267.5
92,32024,71,0,1,8,1,1,2015,0,0,7370,1628,924,0,2,4823,7146,7089,7053,6296,8714,3203508.5
93,6465,11,1,0,79,5,5,2020,0,0,711,717,833,0,7,1089,9351,7245,2929,4977,8691,645862.1
94,41565,46,1,1,64,8,3,2020,1,0,8179,4148,711,1,10,3361,9696,6989,8575,4975,9089,4164038.1
95,58332,55,1,0,97,4,4,2006,0,0,4593,8727,696,1,7,7965,2650,1256,9879,779,9173,5848290.6
96,6708,25,0,1,80,4,4,2000,1,0,5643,7146,278,1,5,7251,9651,8509,8308,6149,3690,674285.1
97,3990,32,1,1,50,4,5,1996,0,1,3707,9351,805,0,5,7356,4823,9794,3535,5026,9712,404538.6
98,81967,35,0,1,42,1,3,2003,0,0,9473,9696,354,1,1,7882,1089,7799,9552,8751,3535,8208953.3
99,79950,38,1,1,25,2,7,1997,0,1,4398,2650,569,1,0,3735,3361,8433,815,6304,1903,7997513.7
100,35634,99,1,1,56,7,8,1998,0,0,7089,9651,418,0,2,8714,7965,1192,2504,1272,9458,3568972.8
101,32037,86,1,0,60,4,7,2013,0,1,7611,4823,877,1,3,8691,7251,5422,5629,9374,4926,3206943.3
102,45893,3,0,1,83,5,5,2017,1,1,7620,1089,621,1,7,9089,7356,6791,9253,6873,4583,4596499.7
103,65896,35,0,1,48,10,5,1994,1,1,2808,3361,242,0,8,9173,7882,4976,7448,6159,5034,6601450.4
104,48678,50,1,1,84,10,7,1998,0,1,823,7965,619,0,1,3690,3735,8172,6738,6808,8798,4877324.8
105,90338,8,0,1,86,6,7,2005,1,1,1631,7251,226,0,8,9712,8714,3924,9426,6708,3923,9040287.5
106,20862,26,1,1,67,3,5,2007,0,0,7148,7356,156,1,3,3535,8691,1736,3231,5840,1667,2098549.7
107,29526,52,1,1,6,9,5,2000,0,0,626,7882,867,1,9,1903,9089,7715,2675,6369,4203,2960766
108,94716,17,1,0,77,8,1,2009,0,1,7001,3735,498,0,8,9458,9173,8436,7926,6896,8809,9479703.9
109,47618,56,0,0,98,6,8,1996,1,0,6279,8714,123,1,0,4926,3690,8529,9788,7685,9342,4765943.6
110,35307,48,0,0,12,8,1,2000,1,1,5359,8691,444,0,8,4583,9712,4652,4581,5092,8678,3534202
111,16631,86,1,1,60,9,4,1993,1,0,7733,9089,833,1,8,5034,3535,6018,4233,2230,4291,1667835.3
112,79401,35,1,0,82,9,2,1996,1,1,7053,9173,217,0,9,8798,1903,8266,732,325,602,7941702.6
113,44913,11,0,0,35,3,4,2005,0,0,2929,3690,669,0,8,3923,9458,5131,3935,269,1459,4493550.5
114,54706,25,1,0,50,7,10,2021,1,1,8575,9712,144,0,8,1667,4926,64,8177,661,5832,5476681.1
115,35585,99,0,1,80,3,6,2008,0,1,9879,3535,625,0,10,4203,4583,1721,5688,435,6330,3561895.8
116,32176,26,0,0,25,6,1,1999,1,0,8308,1903,628,0,3,8809,5034,5284,4303,576,8338,3220156.9
117,65560,77,1,0,14,5,10,2003,0,1,3535,9458,936,0,3,9342,8798,874,4631,975,7873,6563603.3
118,29888,87,1,0,24,2,10,1994,1,0,9552,4926,116,1,2,8678,3923,6478,8566,404,9491,2993396.4
119,56093,16,0,1,20,6,8,2015,1,1,815,4583,114,0,3,4291,1667,1437,7653,738,169,5612610.5
120,98025,58,1,0,45,9,4,2005,1,1,2504,5034,141,1,8,602,4203,816,2535,414,549,9813291.5
121,58914,64,0,1,37,3,5,2017,0,1,5629,8798,811,1,8,1459,8809,9733,8846,325,139,5899786.7
122,51482,55,1,1,34,9,8,2004,1,1,9253,3923,828,0,6,5832,9342,6433,7058,269,8884,5153610.4
123,75680,44,1,0,35,2,3,2009,0,1,7448,1667,601,0,5,6330,8678,2680,3525,661,4910,7572315.9
124,816,7,1,0,38,4,4,2003,0,0,6738,4203,918,0,7,8338,4291,7181,9649,435,4055,87585.3
125,5630,22,0,1,86,2,3,2013,0,0,9426,8809,869,1,8,7873,602,1285,4594,576,3477,574843.3
126,77158,54,0,1,38,8,4,1993,1,1,3231,9342,859,1,0,9491,1459,9799,2308,975,4226,7721334.3
127,88182,74,1,1,82,2,9,2014,1,1,2675,8678,417,1,8,169,5832,469,5594,404,8572,8830006.4
128,36503,72,1,0,85,8,9,2007,0,1,7926,4291,928,0,1,549,6330,8251,6159,738,9296,3659340.7
129,77913,46,1,1,15,1,8,2007,0,1,9788,602,648,1,10,139,8338,3827,7746,414,6524,7801697.7
130,92335,37,0,0,67,4,6,1999,0,1,4581,1459,434,0,3,8884,7873,9199,2116,549,5800,9237950.9
131,74390,46,0,0,5,10,6,2013,0,1,4233,5832,576,0,5,4910,9491,4334,1293,139,6296,7441689.3
132,26223,35,1,0,39,5,5,2014,0,1,732,6330,487,0,2,4055,169,3249,8174,8884,4977,2630045.4
133,56191,41,1,1,8,2,2,2005,0,1,428,8338,711,1,2,3477,549,6158,8553,4910,4975,5625288.5
134,98661,12,1,0,20,5,3,2006,0,1,8673,7873,127,0,8,4226,139,7728,3342,4055,779,9870323.6
135,94457,33,0,0,31,7,4,2007,0,1,206,9491,755,0,0,8572,8884,464,5663,3477,6149,9453238.7
136,16842,7,0,0,68,2,10,2007,1,1,4754,169,495,1,7,9296,4910,872,4173,4226,5026,1690854.7
137,91531,76,0,1,32,7,4,2007,0,0,1684,549,122,1,8,6524,4055,478,6367,8572,8751,9157941.7
138,53818,18,0,0,47,3,8,1999,0,0,7677,139,309,0,10,5800,3477,88,6259,9296,6304,5386139.9
139,79298,57,1,1,17,7,5,2007,0,0,7166,8884,514,0,6,6296,4226,6293,2785,6524,1272,7935780.7
140,88822,24,1,0,13,8,9,2008,1,0,4484,4910,418,0,4,4977,8572,3734,5198,5800,9374,8885730.8
141,43402,47,0,0,17,3,10,1999,0,0,3447,4055,876,1,5,4975,9296,6782,8146,6296,6873,4344251.9
142,86139,41,1,0,15,3,2,2015,1,0,8041,3477,264,0,0,779,6524,8935,8435,4977,6159,8615540.1
143,94030,22,1,0,51,5,8,2006,0,0,5679,4226,519,1,4,6149,5800,8333,2798,4975,6808,9404822.6
144,24511,35,0,0,5,4,6,2000,1,1,3935,8572,377,0,9,5026,6296,8363,8229,779,6708,2465183
145,3440,8,0,1,33,7,2,2009,0,0,8177,9296,986,1,5,8751,4977,8566,8181,6149,5840,354630.9
146,55281,89,0,0,24,3,6,2004,0,0,5688,6524,226,1,8,6304,4975,1313,9812,5026,6369,5531300.4
147,67509,38,1,0,64,10,7,2016,0,0,4303,5800,314,1,6,1272,779,469,4398,8751,6896,6761569.6
148,65752,98,1,1,33,9,5,2006,1,1,4631,6296,633,0,0,9374,6149,7919,3929,6304,7685,6583911.6
149,31492,64,0,0,64,5,5,2000,0,0,8566,4977,747,1,5,6873,5026,7713,9245,1272,5092,3149910
150,27581,98,0,0,37,5,3,2008,0,0,7653,4975,854,0,7,6159,8751,7248,9524,9374,2230,2763880.8
151,83730,50,0,0,8,4,10,2006,1,1,2535,779,810,0,10,6808,6304,3416,8308,6873,3488,8374057.6
152,97452,93,1,0,44,3,8,2000,1,0,8846,6149,213,0,8,6708,1272,2025,9556,6159,8737,9751753.2
153,4809,45,0,1,98,5,9,1995,0,1,7058,5026,575,1,1,5840,9374,123,6178,6808,5951,486824.5
154,13560,5,0,1,8,1,8,2000,1,0,3525,8751,375,1,3,6369,6873,8290,5184,6708,3742,1361612.1
155,39007,25,1,0,8,1,2,1999,1,1,9649,6304,783,0,8,6896,6159,4303,5163,5840,1247,3912800.9
156,38937,77,1,0,13,2,3,2013,0,0,4594,1272,258,0,3,7685,6808,2566,3573,6369,6651,3901433.3
157,80622,74,0,1,76,8,7,2015,0,1,2308,9374,745,1,3,5092,6708,7739,6294,6896,9226,8069026.5
158,33190,84,0,1,13,1,10,2006,1,0,5594,6873,973,0,4,2230,5840,5557,8681,7685,2358,3326422.6
159,48324,76,0,0,90,7,6,2000,1,1,6159,6159,847,1,8,3488,6369,979,2634,5092,3156,4840107.1
160,5630,86,0,1,77,8,6,2013,1,1,7746,6808,747,0,10,8737,6896,9796,5802,6347,3535,574843.3
161,66518,16,0,1,80,6,9,2005,1,0,2116,6708,635,1,10,5951,7685,3492,5497,689,6783,6658518.5
162,341,34,0,1,17,4,5,2013,0,1,1293,5840,767,1,1,3742,5092,7149,6642,478,4916,35371.3
163,49772,98,0,1,38,7,5,2007,0,1,8174,6369,810,0,4,1247,2230,5833,7266,4254,7229,4985835.7
164,97550,89,1,0,35,3,7,2014,1,0,8553,6896,987,1,4,6651,3488,6347,9796,7113,6234,9765099.4
165,47807,61,0,0,67,9,3,2000,1,0,9232,7685,168,1,1,9226,8737,689,4726,3884,6662,4790133.2
166,80610,75,1,1,21,4,4,2007,1,1,2420,5092,677,0,0,2358,5951,478,7710,1335,1441,8071729.7
167,78088,33,1,0,6,3,5,2004,0,0,8129,2230,414,0,8,3156,3742,4254,2952,8174,6794,7809475.4
168,55620,90,1,1,71,1,2,2000,1,0,8796,3488,539,0,6,3535,1247,7113,7262,7889,8712,5573469.2
169,9078,85,0,1,37,3,5,1994,0,1,6784,8737,809,0,10,6783,6651,3884,632,8031,937,909459.4
170,52552,55,1,0,82,8,5,2006,1,0,9778,5951,114,1,2,4916,9226,1335,637,9253,5563,5262997.6
171,79375,37,1,0,79,4,4,2013,0,0,1537,3742,859,0,8,7229,2358,8174,7309,7267,5244,7942261.3
172,55052,11,0,1,75,10,3,2000,1,0,4507,1247,210,0,9,6234,3156,7889,981,4179,9969,5506954.2
173,20743,16,1,1,12,5,3,2020,0,1,1732,6651,135,0,4,6662,3535,8031,5179,2785,5958,2080020.1
174,32419,39,1,0,64,8,6,2000,1,1,10000,9226,255,1,2,1441,6783,9253,9543,1637,3192,3253478.1
175,83377,83,1,0,55,5,6,2003,1,0,6698,2358,919,0,7,6794,4916,7267,3600,8377,968,8342685.3
176,49031,84,1,0,78,1,4,2016,1,1,3291,3156,514,0,5,8712,7229,4179,3856,5754,5240,4914589.6
177,82202,84,0,0,8,10,7,2003,1,1,1252,3535,936,1,1,937,6234,2785,801,3136,4354,8225531.3
178,43001,6,1,1,55,2,4,1997,1,1,3342,6783,900,1,6,5563,6662,1637,7262,7581,6820,4311748.7
179,16249,35,1,0,41,3,5,2009,0,1,5663,4916,275,1,4,5244,1441,8377,7963,3247,9186,1627810.9
180,31005,35,0,1,9,5,6,2018,0,1,4173,7229,694,0,2,9969,6794,5754,782,437,8589,3101945.8
181,58413,64,1,1,12,8,4,2013,0,0,6367,6234,613,0,3,5958,8712,3136,955,6570,6439,5852813
182,45524,58,0,0,32,4,9,2013,1,1,6259,6662,678,0,1,3192,937,7581,5178,6974,7245,4562413.3
183,14973,18,0,1,34,1,2,2018,0,0,2785,1441,414,0,5,968,5563,3247,4774,5136,9658,1501528.8
184,20964,64,0,1,4,6,8,2000,1,0,5198,6794,775,0,6,5240,5244,437,8482,8953,826,2101176
185,58597,84,0,1,99,1,8,2020,1,0,8146,8712,146,1,10,4354,9969,6570,6838,3958,2235,5867655.1
186,29824,18,0,1,69,7,5,1993,1,0,8435,937,401,0,9,6820,5958,6974,4163,7753,6681,2986708.3
187,29752,99,1,1,35,7,8,2000,0,0,2798,5563,886,1,5,9186,3192,5136,1464,8249,4074,2982668
188,51798,35,0,1,50,2,6,2014,0,0,8229,5244,146,1,3,8589,968,8953,4944,5369,826,5185741.4
189,28600,79,1,0,76,1,5,2017,1,0,8181,9969,324,1,3,6439,5240,3958,5377,5367,4753,2869556.7
190,18286,89,0,0,49,8,9,2016,1,1,9812,5958,377,0,4,7245,4354,7753,171,7245,775,1833185.6
191,68985,86,0,0,50,4,1,2009,0,1,4398,3192,275,1,0,9658,6820,8249,4594,9658,4287,6901750.9
192,36219,19,1,1,35,2,1,2003,1,1,3929,968,138,1,6,826,9186,5369,8578,826,5166,3634081.3
193,95561,57,0,0,36,7,10,2015,1,1,9245,5240,512,0,6,2235,8589,5367,7384,2235,5274,9561422.5
194,19985,19,0,0,19,8,9,1999,1,1,9524,4354,920,0,4,6681,6439,3437,4138,6681,5017,2006910.9
195,35060,21,0,1,62,3,7,2013,1,1,8308,6820,499,0,3,4074,7245,4357,1437,4074,8779,3513606.3
196,1719,5,1,0,5,2,4,2008,0,1,9556,9186,645,1,2,826,9658,1976,5511,826,9015,180524.8
197,75584,99,1,1,84,6,6,2016,0,1,6178,8589,201,0,1,4753,826,3288,7248,4753,5474,7567791.6
198,45524,64,1,1,34,2,9,1993,0,0,5184,6439,114,0,0,775,2235,8889,2785,775,4708,4557896.3
199,41700,45,1,0,45,8,8,2001,0,1,5163,7245,194,1,4,4287,6681,6770,9983,4287,4514,4175901.1
200,14113,34,1,1,58,3,9,2014,1,0,3573,9658,109,0,7,5166,4074,3850,9502,5166,6000,1417648.4
201,30572,24,0,0,77,8,4,2008,0,0,6294,826,401,0,3,5274,826,6133,7479,5274,6696,3058110.8
202,73527,79,0,0,77,8,4,2004,0,0,8681,2235,377,0,8,5017,4753,782,1272,5017,4653,7356083.4
203,14113,47,1,1,97,7,8,2014,0,1,2634,6681,147,0,8,8779,775,4244,6449,8779,1075,1417648.4
204,56878,60,1,0,35,3,7,2015,0,0,5802,4074,676,0,1,9015,4287,6431,3484,9015,5249,5695950.5
205,5246,3,1,0,33,8,6,1998,0,0,5497,826,205,0,8,5474,5166,7889,8384,5474,1327,532545.8
206,46204,81,0,1,40,1,4,1997,0,1,6642,4753,101,0,2,4708,5274,7473,7276,4708,7600,4627498.7
207,14933,78,1,1,50,1,9,2020,0,1,7266,775,349,1,8,4514,5017,5778,2426,4514,7363,1500885
208,29250,78,0,1,78,7,5,2015,1,1,9796,4287,268,0,5,6000,8779,6445,7208,6000,955,2935648.5
209,45125,78,1,1,50,8,6,2019,0,0,4726,5166,976,1,7,6696,9015,8889,1649,6696,5164,4522380.9
210,70873,58,0,0,58,1,8,1997,1,1,7710,5274,434,0,9,4653,5474,7764,1851,4653,1626,7089697.7
211,42903,59,0,1,30,5,5,2000,0,0,2952,5017,314,0,2,1075,4708,1311,5305,1075,4145,4295529.1
212,965,58,1,1,79,2,9,2019,0,1,7262,8779,737,1,2,5249,4514,8824,9249,5249,7465,107936.9
213,77915,99,0,0,22,5,10,2018,1,1,632,9015,221,0,7,1327,6000,8798,6109,1327,583,7793915.8
214,21765,34,0,0,50,5,10,2000,1,1,637,5474,532,1,0,7600,6696,7265,6486,7600,5544,2184139
215,13344,12,0,0,50,7,2,2000,0,1,7309,4708,983,0,2,7363,4653,8758,1661,7363,4988,1342649.1
216,78256,89,0,1,84,3,6,2021,0,1,981,4514,144,0,9,955,1075,1911,4173,955,5388,7832429
217,59437,58,1,0,46,1,2,2014,0,1,5179,6000,702,0,3,5164,5249,5173,5258,7265,2505,5952617.4
218,26508,34,1,0,80,7,1,2000,0,0,9543,6696,186,1,7,1626,1327,7330,4960,8758,4918,2663765.1
219,86044,74,1,1,88,4,5,2011,1,0,3600,4653,456,0,8,4145,7600,7845,7714,1911,7497,8615471.1
220,47063,10,0,1,6,6,8,2019,1,1,3856,1075,956,0,10,7465,7363,5303,3731,5173,7366,4713133.9
221,55490,51,1,1,37,6,2,2018,1,0,801,5249,123,1,10,583,955,4198,6434,7330,6234,5562772.8
222,1115,49,1,0,46,10,8,2014,0,1,7262,1327,109,0,3,5544,5164,5786,5278,7845,4951,129053.4
223,8677,7,1,1,38,10,3,1994,0,1,7963,7600,774,0,10,4988,1626,7416,1551,5303,9179,877121.4
224,19507,52,1,1,18,5,5,2014,1,0,782,7363,655,1,4,5388,4145,8171,5662,4198,765,1955298
225,77604,51,0,0,62,3,10,2003,1,1,955,955,616,1,6,2505,7465,7226,7055,5786,5615,7762930.3
226,85405,89,1,1,42,1,9,1999,0,0,5178,5164,241,1,1,4918,583,9533,2287,7416,213,8555341.9
227,49033,68,1,1,48,9,6,2020,1,0,4774,1626,863,1,10,7497,5544,836,9037,8171,1684,4913241
228,41332,58,1,0,58,5,6,1994,0,1,8482,4145,414,1,6,7366,4988,8435,489,7226,923,4146474.4
229,97831,54,1,1,75,10,4,2004,0,1,6838,7465,214,0,3,6234,5388,6424,3541,9533,1272,9790034.4
230,61347,58,1,1,41,6,6,2020,0,1,4163,583,546,1,8,4951,2505,9278,7772,836,7298,6139920.1
231,69179,8,1,0,50,4,5,1993,1,1,1464,5544,367,0,0,9179,4918,8642,6772,8435,3528,6921389.3
232,54993,21,0,1,50,9,2,2017,1,0,4944,4988,587,1,6,765,7497,2741,9253,6424,1034,5503799.7
233,28121,36,1,1,4,4,5,1990,1,0,5377,5388,863,1,2,5615,7366,732,5282,9278,5573,2820497.1
